Category,Message
ham,Happy birthday dude! Cant believe ur 17 now…insane. Not much changes tho so i guess all you really got now is anotha yr under ur belt
ham,wen will u be done with your part of the project? Im almost done but I think im gonna need some eyes on it bc I cant tell if it looks good or not
ham,leave me alone pls…
ham,ew! Y would you send that to anyone?!! That’s so ugly man. Get it away from me. DELETE NOW
ham,r u good bro? uve been so weird l8ly I cant tell if ur sick or some1 is blackmailing u or smthng
ham,talk soon?
ham,wanna get some coffee l8r? Theres this new spot I found on a walk a couple dayz ago. It looks gr8
ham,wait so wen is it due again? I thought it was tmr but bob says it's gonna be next week
ham,tell me when you'll be ready. I'll come by to pick you up in 20
ham,how mcuh did you pay?! Mum said ONLY $20 MAX
ham,cant wait to see you! I'm packing the tickets rn. Remember to bring your costume! Lol :)
ham,okay so if you can get the sheet done thatd be good. Ill send you my work in a bit but you can see my activity on the other doc if you want
ham,lemme kno wen ur done
ham,"gm, just woke up and guess wat? My window's broken, idk how or why."
ham,where did you leave the keys? I cant find them in their usual spot.
ham,"check behind the dresser, I think maybe kathy pushed them over"
ham,the vase is broken!
ham,did u see hwo it happened?  I thought u might know since u were that close up an all
ham,brian said ud be going to the plaza 2nite can you get some new bracelets for me? Ill pay u tomorrow. Just get me something black or blue
ham,r you going the party on Friday? I don’t want to
ham,"call me in abt 10 mins pls, im busy with some stuff right now so I cant talk much"
ham,"hey, how many scooops did the vet say we needed, I cant read the doc she gave us, its like a maze"
ham,"says you, you cant even drive"
ham,where did you say you left it? I checked the kitchen
ham,what kind of eggs do you want?
ham,look at how cute he is! I got him a little suits and some shoes at the mall yesterday
ham,"the photoshoot starts in 5, WHERE ARE YOU?"
ham,CAN YOU JUST WAIT A SEC PLEASE? I NEED JUST A MINUTE TO BREATHE
ham,what did you have for breakfast? Were there any leftovers?
ham,im at the pavilion and im gonna get some wool for my next project
ham,"for me: cheeseburger, no tomato and xtra cheese please"
ham,"im ok but I don’t think sandy is, u should check up on her because I don’t think she should be alone for this long"
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
ham,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
