Category,Message
ham,Happy birthday dude! Cant believe ur 17 now…insane. Not much changes tho so i guess all you really got now is anotha yr under ur belt
ham,wen will u be done with your part of the project? Im almost done but I think im gonna need some eyes on it bc I cant tell if it looks good or not
ham,leave me alone pls…
ham,ew! Y would you send that to anyone?!! That’s so ugly man. Get it away from me. DELETE NOW
ham,r u good bro? uve been so weird l8ly I cant tell if ur sick or some1 is blackmailing u or smthng
ham,talk soon?
ham,wanna get some coffee l8r? Theres this new spot I found on a walk a couple dayz ago. It looks gr8
ham,wait so wen is it due again? I thought it was tmr but bob says it's gonna be next week
ham,tell me when you'll be ready. I'll come by to pick you up in 20
ham,how mcuh did you pay?! Mum said ONLY $20 MAX
ham,cant wait to see you! I'm packing the tickets rn. Remember to bring your costume! Lol :)
ham,okay so if you can get the sheet done thatd be good. Ill send you my work in a bit but you can see my activity on the other doc if you want
ham,lemme kno wen ur done
ham,"gm, just woke up and guess wat? My window's broken, idk how or why."
ham,where did you leave the keys? I cant find them in their usual spot.
ham,"check behind the dresser, I think maybe kathy pushed them over"
ham,the vase is broken!
ham,did u see hwo it happened?  I thought u might know since u were that close up an all
ham,brian said ud be going to the plaza 2nite can you get some new bracelets for me? Ill pay u tomorrow. Just get me something black or blue
ham,r you going the party on Friday? I don’t want to
ham,"call me in abt 10 mins pls, im busy with some stuff right now so I cant talk much"
ham,"hey, how many scooops did the vet say we needed, I cant read the doc she gave us, its like a maze"
ham,"says you, you cant even drive"
ham,where did you say you left it? I checked the kitchen
ham,what kind of eggs do you want?
ham,look at how cute he is! I got him a little suits and some shoes at the mall yesterday
ham,"the photoshoot starts in 5, WHERE ARE YOU?"
ham,CAN YOU JUST WAIT A SEC PLEASE? I NEED JUST A MINUTE TO BREATHE
ham,what did you have for breakfast? Were there any leftovers?
ham,im at the pavilion and im gonna get some wool for my next project
ham,"for me: cheeseburger, no tomato and xtra cheese please"
ham,"im ok but I don’t think sandy is, u should check up on her because I don’t think she should be alone for this long"
ham,I made the payment last night what do you mean she already covered it?
ham,happy fam reunion 2026!
ham,sam said that she couldn’t come so  don’t think im going to be able to either but who knows?
ham,ahahahahhahahha I cant believe that happened lololololololololololololololo
ham,Ill be there in a jiffy…prepare the tissues!
ham,how did that even happen? Did you not secure it like i told you to?
ham,I didn’t cancel the subcription btw
ham,she wanted to send it to you in the mail but we realized we didn’t hav ur address
ham,the bird fell into the toilet bowl
ham,we had shrimp at the buffet n we tried the shellfish for the first time too.  Anyways…I feel like I shouldve eaten more sushi
ham,how old is she again? I remembr her bday but I forgot the yr and im too afraid to ask her
ham,we have five tomatoes left on the plant so you need to pick up bag
ham,"the budget is $500, think that’s enoguh?"
ham,im in the basement rn and our pipes r leaking
ham,I realized I 4got how to spelll her name so I think all those invitations r wrong
ham,when does it start? I think ill hav sum time to swing by b4 the conference starts
ham,lemme hav a go wen ur dun wiv it alr?
spam,"claim your FREE BRAND NEW PHONE, call 09061701461 with YES!"
spam,"YOU ARE THE PROUD NEW OWNER OF $100,000! Don't miss your chance to claim your prize by New Years Eve at midnight. TEXT code J8GH21 to 07732584351"
spam,"Dear valued customer, you have been chosen to own our new computer bundle. Call 09066364589. Valid for only 12 hrs."
spam,"SALE! SALE! SALE! Get 99% off every purchase at any Walmart branch, to access your store code link reply with SALE now! Valid for only 24 hours."
spam,"Congrats Winner! As our one millionth customer, you will be awarded a lifetime supply of any of our products. Click the link and enter code 67878 to claim your prize: www.dbuk.net"
spam,Louise wants to give you an ipad. Reply YES to 0808 145 4742 between 9am-11pm.
spam,Congrats! You won a $1000 gift card! Claim here: www.areyouunique.co.uk
spam,"Your account is locked, verify details now: www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
spam,"ATTENTION: A virus has been detected on your device, reply with your password to restore your data."
spam,Delivery issue with package PP123. Pay $25 fee to reschedule.
spam,You've been selected for a $1000 gift card. Reply YES to confirm
spam,Your bank account has suspicious activity. Verify your login at www.Ldew.com1win150ppmx3age16.
spam,Your Google account will expire today. Click here to prevent deletion: www.100percent-real.com.
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
spam,
